time,signal,
0.684526193,-0.357724738,160
0.685635635,-0.352315399,160
0.686745078,-0.293974573,160
0.687854521,-0.195935117,160
0.688963964,-0.105459356,160
0.690073407,-0.119194967,160
0.691182849,-0.132930578,160
0.692292292,-0.113289104,160
0.693401735,-0.067835968,160
0.694511178,-0.031787094,160
0.69562062,-0.14267927,160
0.696730063,-0.253571446,160
0.697839506,-0.285395985,160
0.698948949,-0.254180112,160
0.700058392,-0.222315767,160
0.701167834,-0.178778878,160
0.702277277,-0.135241989,160
0.70338672,-0.100427906,160
0.704496163,-0.072783263,160
0.705605605,-0.051533072,160
0.706715048,-0.165633961,160
0.707824491,-0.27973485,160
0.708933934,-0.278889926,160
0.710043376,-0.180660397,160
0.711152819,-0.088387079,160
0.712262262,-0.148593166,160
0.713371705,-0.208799252,160
0.714481148,-0.192934119,160
0.71559059,-0.110640518,160
0.716700033,-0.030823922,160
0.717809476,-0.0308921,160
0.718918919,-0.030960277,160
0.720028361,-0.084437788,160
0.721137804,-0.185983659,160
0.722247247,-0.284817171,160
0.72335669,-0.266115146,160
0.724466133,-0.24741312,160
0.725575575,-0.240567427,160
0.726685018,-0.24471892,160
0.727794461,-0.248577269,160
0.728903904,-0.233234155,160
0.730013346,-0.217891041,160
0.731122789,-0.20872648,160
0.732232232,-0.205467901,160
0.733341675,-0.20249253,160
0.734451118,-0.236900156,160
0.73556056,-0.271307783,160
0.736670003,-0.270492023,160
0.737779446,-0.234978586,160
0.738888889,-0.19946515,160
0.739998331,-0.170044965,160
0.741107774,-0.140624782,160
0.742217217,-0.156607952,160
0.74332666,-0.218682499,160
0.744436103,-0.280757046,160
0.745545545,-0.222970386,160
0.746654988,-0.164275711,160
0.747764431,-0.123369183,160
0.748873874,-0.101071794,160
0.749983316,-0.078774406,160
0.751092759,-0.113737477,160
0.752202202,-0.149574765,160
0.753311645,-0.166010365,160
0.754421088,-0.161528486,160
0.75553053,-0.157046607,160
0.756639973,-0.166237515,160
0.757749416,-0.175743958,160
0.758858859,-0.18030956,160
0.759968301,-0.17938534,160
0.761077744,-0.17846112,160
0.762187187,-0.182835586,160
0.76329663,-0.187374354,160
0.764406073,-0.17371833,160
0.765515515,-0.139226311,160
0.766624958,-0.104734291,160
0.767734401,-0.127836641,160
0.768843844,-0.153188803,160
0.769953286,-0.188138974,160
0.771062729,-0.234417933,160
0.772172172,-0.280696892,160
0.773281615,-0.209581304,160
0.774391057,-0.132919516,160
0.7755005,-0.063831294,160
0.776609943,-0.003957585,160
0.777719386,0.055916125,160
0.778828829,0.014224668,160
0.779938271,-0.033109344,160
0.781047714,-0.078346831,160
0.782157157,-0.120954773,160
0.7832666,-0.163562715,160
0.784376042,-0.118654837,160
0.785485485,-0.068145956,160
0.786594928,-0.042299729,160
0.787704371,-0.048344881,160
0.788813814,-0.054390034,160
0.789923256,-0.101911471,160
0.791032699,-0.152443298,160
0.792142142,-0.141989384,160
0.793251585,-0.050220977,160
0.794361027,0.041547431,160
0.79547047,-0.017497755,160
0.796579913,-0.088804175,160
0.797689356,-0.122164283,160
0.798798799,-0.103348208,160
0.799908241,-0.084532133,160
0.801017684,-0.100358223,160
0.802127127,-0.119307796,160
0.80323657,-0.09708643,160
0.804346012,-0.016477087,160
0.805455455,0.064132256,160
0.806564898,-0.015660521,160
0.807674341,-0.111361065,160
0.808783784,-0.161790246,160
0.809893226,-0.145989122,160
0.811002669,-0.130187997,160
0.812112112,-0.093974695,160
0.813221555,-0.055550072,160
0.814330997,-0.067950718,160
0.81544044,-0.157068855,160
0.816549883,-0.246186992,160
0.817659326,-0.228169671,160
0.818768769,-0.197548109,160
0.819878211,-0.170200677,160
0.820987654,-0.14795333,160
0.822097097,-0.125705983,160
0.82320654,-0.135540956,160
0.824315982,-0.149454191,160
0.825425425,-0.155745553,160
0.826534868,-0.149782127,160
0.827644311,-0.1438187,160
0.828753754,-0.070084609,160
0.829863196,0.012917303,160
0.830972639,0.049985898,160
0.832082082,0.010804984,160
0.833191525,-0.02837593,160
0.834300967,-0.086988258,160
0.83541041,-0.148448291,160
0.836519853,-0.186504417,160
0.837629296,-0.184439538,160
0.838738738,-0.182374659,160
0.839848181,-0.166745431,160
0.840957624,-0.148993082,160
0.842067067,-0.175933835,160
0.84317651,-0.282018805,160
0.844285952,-0.388103775,160
0.845395395,-0.340544402,160
0.846504838,-0.267377676,160
0.847614281,-0.238623525,160
0.848723723,-0.291134949,160
0.849833166,-0.343646372,160
0.850942609,-0.345441795,160
0.852052052,-0.338260919,160
0.853161495,-0.335990086,160
0.854270937,-0.343005659,160
0.85538038,-0.350021231,160
0.856489823,-0.275810058,160
0.857599266,-0.186368798,160
0.858708708,-0.146574394,160
0.859818151,-0.203867145,160
0.860927594,-0.261159895,160
0.862037037,-0.285424181,160
0.86314648,-0.303142279,160
0.864255922,-0.320373314,160
0.865365365,-0.336619151,160
0.866474808,-0.352864988,160
0.867584251,-0.360002858,160
0.868693693,-0.365236329,160
0.869803136,-0.388555444,160
0.870912579,-0.449728206,160
0.872022022,-0.510900968,160
0.873131465,-0.43510811,160
0.874240907,-0.329157676,160
0.87535035,-0.239914355,160
0.876459793,-0.186869819,160
0.877569236,-0.133825283,160
0.878678678,-0.156744535,160
0.879788121,-0.197248048,160
0.880897564,-0.21969044,160
0.882007007,-0.201605317,160
0.88311645,-0.183520194,160
0.884225892,-0.268669337,160
0.885335335,-0.378903431,160
0.886444778,-0.471662433,160
0.887554221,-0.523791822,160
0.888663663,-0.57592121,160
0.889773106,-0.496103535,160
0.890882549,-0.382676631,160
0.891991992,-0.313538298,160
0.893101434,-0.351147056,160
0.894210877,-0.388755815,160
0.89532032,-0.412353347,160
0.896429763,-0.432214556,160
0.897539206,-0.44007631,160
0.898648648,-0.417939419,160
0.899758091,-0.395802528,160
0.900867534,-0.395117024,160
0.901976977,-0.400413166,160
0.903086419,-0.401840384,160
0.904195862,-0.393229294,160
0.905305305,-0.384618203,160
0.906414748,-0.323191421,160
0.907524191,-0.246381372,160
0.908633633,-0.192140906,160
0.909743076,-0.198712912,160
0.910852519,-0.205284918,160
0.911961962,-0.177637305,160
0.913071404,-0.139589602,160
0.914180847,-0.129842721,160
0.91529029,-0.19933828,160
0.916399733,-0.26883384,160
0.917509176,-0.295141697,160
0.918618618,-0.307766282,160
0.919728061,-0.304363664,160
0.920837504,-0.254293642,160
0.921946947,-0.204223619,160
0.923056389,-0.261272365,160
0.924165832,-0.353670313,160
0.925275275,-0.411287718,160
0.926384718,-0.3635094,160
0.927494161,-0.315731081,160
0.928603603,-0.24934046,160
0.929713046,-0.176557721,160
0.930822489,-0.103241377,160
0.931931932,-0.028240836,160
0.933041374,0.046759705,160
0.934150817,0.157882439,160
0.93526026,0.281905953,160
0.936369703,0.382317218,160
0.937479146,0.405036497,160
0.938588588,0.427755776,160
0.939698031,0.596701202,160
0.940807474,0.819916223,160
0.941916917,1.000604365,160
0.943026359,1.035283093,160
0.944135802,1.069961821,160
0.945245245,1.221708974,160
0.946354688,1.418576216,160
0.947464131,1.566741358,160
0.948573573,1.540250635,160
0.949683016,1.513759912,160
0.950792459,1.517262877,160
0.951901902,1.532763334,160
0.953011344,1.526647855,160
0.954120787,1.439472396,160
0.95523023,1.352296938,160
0.956339673,1.186064294,160
0.957449115,0.987031225,160
0.958558558,0.787716497,160
0.959668001,0.587295999,160
0.960777444,0.386875501,160
0.961886887,0.25037016,160
0.962996329,0.14135523,160
0.964105772,0.044521,160
0.965215215,-0.002184852,160
0.966324658,-0.048890704,160
0.9674341,-0.158507316,160
0.968543543,-0.296160318,160
0.969652986,-0.402599819,160
0.970762429,-0.374197115,160
0.971871872,-0.345794411,160
0.972981314,-0.364722855,160
0.974090757,-0.405496451,160
0.9752002,-0.42618955,160
0.976309643,-0.355683559,160
0.977419085,-0.285177569,160
0.978528528,-0.2803954,160
0.979637971,-0.30701468,160
0.980747414,-0.321099114,160
0.981856857,-0.275234008,160
0.982966299,-0.229368902,160
0.984075742,-0.301537811,160
0.985185185,-0.432060605,160
0.986294628,-0.522854182,160
0.98740407,-0.413195552,160
0.988513513,-0.303536921,160
0.989622956,-0.264529427,160
0.990732399,-0.261650414,160
0.991841842,-0.264887544,160
